Date,Close
Dec-2000,100
Jan-2001,112.872
Feb-2001,107.526
Mar-2001,95.302
Apr-2001,95.441
May-2001,95.283
Jun-2001,92.967
Jul-2001,89.409
Aug-2001,87.998
Sep-2001,74.163
Oct-2001,78.161
Nov-2001,88.61
Dec-2001,95.975
Jan-2002,99.796
Feb-2002,100.51
Mar-2002,107.223
Apr-2002,108.305
May-2002,105.848
Jun-2002,100.56
Jul-2002,96.698
Aug-2002,94.974
Sep-2002,84.514
Oct-2002,88.813
Nov-2002,93.531
Dec-2002,87.828
Jan-2003,88.547
Feb-2003,84.853
Mar-2003,80.859
Apr-2003,83.405
May-2003,90.598
Jun-2003,96.277
Jul-2003,104.431
Aug-2003,112.423
Sep-2003,113.271
Oct-2003,122.974
Nov-2003,121.458
Dec-2003,128.716
Jan-2004,136.459
Feb-2004,141.033
Mar-2004,138.624
Apr-2004,131.004
May-2004,126.604
Jun-2004,125.461
Jul-2004,122.859
Aug-2004,128.783
Sep-2004,133.734
Oct-2004,134.607
Nov-2004,146.547
Dec-2004,151.044
Jan-2005,152.003
Feb-2005,160.53
Mar-2005,153.15
Apr-2005,151.131
May-2005,155.409
Jun-2005,159.75
Jul-2005,169.992
Aug-2005,165.03
Sep-2005,174.007
Oct-2005,162.582
Nov-2005,174.565
Dec-2005,185.317
Jan-2006,198.723
Feb-2006,198.794
Mar-2006,202.475
Apr-2006,216.152
May-2006,200.019
Jun-2006,199.242
Jul-2006,199.472
Aug-2006,206.397
Sep-2006,213.589
Oct-2006,220.066
Nov-2006,236.973
Dec-2006,247.064
Jan-2007,244.248
Feb-2007,243.826
Mar-2007,249.364
Apr-2007,260.488
May-2007,275.525
Jun-2007,289.356
Jul-2007,310.189
Aug-2007,306.048
Sep-2007,343.373
Oct-2007,380.027
Nov-2007,347.565
Dec-2007,346.204
Jan-2008,298.247
Feb-2008,315.57
Mar-2008,296.249
Apr-2008,320.359
May-2008,309.685
Jun-2008,272.835
Jul-2008,270.33
Aug-2008,251.677
Sep-2008,210.008
Oct-2008,159.468
Nov-2008,150.025
Dec-2008,164.871
Jan-2009,155.887
Feb-2009,145.71
Mar-2009,165.818
Apr-2009,193.597
May-2009,224.732
Jun-2009,223.677
Jul-2009,252.792
Aug-2009,244.544
Sep-2009,266.162
Oct-2009,264.757
Nov-2009,271.881
Dec-2009,283.701
Jan-2010,266.565
Feb-2010,267.905
Mar-2010,287.301
Apr-2010,293.224
May-2010,268.627
Jun-2010,273.184
Jul-2010,288.988
Aug-2010,285.681
Sep-2010,318.015
Oct-2010,326.369
Nov-2010,321.58
Dec-2010,339.355
Jan-2011,336.023
Feb-2011,323.009
Mar-2011,343.304
Apr-2011,356.269
May-2011,351.494
Jun-2011,343.335
Jul-2011,347.265
Aug-2011,312.915
Sep-2011,271.676
Oct-2011,304.294
Nov-2011,278.988
Dec-2011,280.623
Jan-2012,310.812
Feb-2012,329.45
Mar-2012,319.092
Apr-2012,319.211
May-2012,288.645
Jun-2012,297.345
Jul-2012,305.101
Aug-2012,303.521
Sep-2012,324.877
Oct-2012,323.996
Nov-2012,332.948
Dec-2012,343.371
Jan-2013,349.074
Feb-2013,348.686
Mar-2013,341.77
Apr-2013,347.775
May-2013,343.347
Jun-2013,323.695
Jul-2013,329.62
Aug-2013,324.636
Sep-2013,342.24
Oct-2013,357.213
Nov-2013,357.824
Dec-2013,353.911
Jan-2014,336.198
Feb-2014,347.823
Mar-2014,351.312
Apr-2014,353.838
May-2014,368.138
Jun-2014,376.706
Jul-2014,390.922
Aug-2014,393.58
Sep-2014,370.457
Oct-2014,377.691
Nov-2014,378.864
Dec-2014,370.915
Jan-2015,380.208
Feb-2015,387.401
Mar-2015,389.014
Apr-2015,417.153
May-2015,406.256
Jun-2015,391.174
Jul-2015,366.351
Aug-2015,330.362
Sep-2015,324.524
Oct-2015,350.357
Nov-2015,338.521
Dec-2015,336.911
Jan-2016,311.173
Feb-2016,308.285
Mar-2016,342.904
Apr-2016,339.832
May-2016,335.303
Jun-2016,344.26
Jul-2016,360.946
Aug-2016,373.106
Sep-2016,379.182
Oct-2016,373.434
Nov-2016,362.678
Dec-2016,355.244
Jan-2017,377.269
Feb-2017,390.04
Mar-2017,402.796
Apr-2017,411.561
May-2017,429.451
Jun-2017,436.285
Jul-2017,459.613
Aug-2017,465.73
Sep-2017,465.181
Oct-2017,487.129
Nov-2017,490.218
Dec-2017,503.446
Jan-2018,541.526
Feb-2018,514.567
Mar-2018,506.795
Apr-2018,510.389
May-2018,503.636
Jun-2018,479.487
Jul-2018,483.511
Aug-2018,478.572
Sep-2018,471.948
Oct-2018,420.751
Nov-2018,443.099
Dec-2018,431.09
Jan-2019,462.605
Feb-2019,472.258
Mar-2019,480.361
Apr-2019,489.504
May-2019,447.747
Jun-2019,477.207
Jul-2019,468.78
Aug-2019,448.252
Sep-2019,455.722
Oct-2019,476.457
Nov-2019,477.63
Dec-2019,509.416
Jan-2020,486.755
Feb-2020,472.777
Mar-2020,415.784
Apr-2020,453.045
May-2020,447.785
Jun-2020,485.266
Jul-2020,526.496
Aug-2020,545.181
Sep-2020,536.99
Oct-2020,551.992
